title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
UGAMA convoca a los ganaderos regionales,Redacci&oacute;n,2023-06-28 15:14:00,full,http://www.gentedigital.es/portada/noticia/3659426/ugama-convoca-a-los-ganaderos-regionales,gentedigital.es,"Se reunirán este jueves en el Pósito Municipal de Colmenar Viejo para estudiar la adhesión a la Organización Agraria Madrileña. De fondo, el problema de la tuberculosis bovina. Problemas para los…","Se reunirán este jueves en el Pósito Municipal de Colmenar Viejo para estudiar la adhesión a la Organización Agraria Madrileña. De fondo, el problema de la tuberculosis bovina.
 
 
 
 
Problemas para los ganaderos locales
 
 
El sindicato denuncia los altos índices de prevalencia de la tuberculosis
 
Redacción
28/6/2023 - 18:14
 
Semanas atrás, parte de la actualidad informativa miraba hacia Castilla y León después de que el Ministerio de Agricultura, Pesca y Alimentación limitara el movimiento del ganado bovino en dicha región ""para evitar poner en riesgo el nivel sanitario de la cabaña ganadera española y comunitaria"", atendiendo especialmente a los riesgos de transmisión de la tuberculosis bovina.",gentedigital.es,86289.0,news,ES,es,"Redacci&oacute;n,Tres Tristes Tigres",http://www.gentedigital.es/favicon.ico,False,,31.195797,49b9ff15a269f8d1fe21e014ae185cd5
"El PSOE, en las Cortes: «Los ganaderos están hartos»",AGENCIAS,2023-06-28 10:53:53,full,https://www.lagacetadesalamanca.es/campo/psoe-cortes-ganaderos-hartos-20230628125327-nt.html,lagacetadesalamanca.es,El procurador socialista Juan Luis Cepa ha hablado sobre el hartazgo de los ganaderos por las «promesas irreales» de las medidas para hacer frente a la tuberculosis,"Miércoles, 28 de junio 2023, 12:53









 


 
 










Los grupos que conforman las Cortes de Castilla y León han coincidido en la necesidad de mejorar el 
saneamiento ganadero
, tras la crisis provocada por la tuberculosis bovina, aunque han diferido en la forma de hacerlo, de ahí que una moción presentada sobre esta materia por el grupo Socialista no haya salido adelante con los votos en contra de PP y Vox.


Concretamente, el Grupo Socialista ha presentado en el Parlamento autonómico una moción de 19 puntos, entre los que se encontraba instar a la Junta a cumplir los requisitos para el control y la erradicación de las enfermedades que están recogidos en el Programa Nacional de Erradicación de la Tuberculosis Bovina (PNETB), después de la polémica suscitada en la Comunidad tras el intento de la Junta de relajar estas medidas de forma unilateral.",lagacetadesalamanca.es,99436.0,news,ES,es,"AGENCIAS,La Gaceta de Salamanca",https://s2.ppllstatics.com/lagacetadesalamanca/www/multimedia/2023/06/28/mercado-ganados-salamanca-U45137286523SAc-1920x1080@Gaceta%20Salamanca.jpg,False,La Gaceta de Salamanca,30.390635,17c895522303a33a97ebde89957389bb
Emergencia cinegética en 144 municipios de Salamanca por la abundancia de jabalíes,Susana Magdaleno,2023-06-27 07:05:33,full,https://www.lagacetadesalamanca.es/campo/emergencia-cinegetica-144-municipios-desalamanca-abundancia-jabalies-20230627090533-nt.html,lagacetadesalamanca.es,"La Junta prevé declarar la emergencia cinegética en 253 municipios, de ellos 144 de Salamanca, el 56% | Incluye a Vitigudino, Béjar, La Fuente, Ciudad Rodrigo y Tamames, pero esta última con…","La Junta de Castilla y León ultima la redacción de la orden que declara la 
emergencia cinegética
 por riesgo de 
tuberculosis bovina 
en 253 municipios, de los que 144 son de -el 56% del total- y pertenecen a 
cinco unidades veterinarias
: 
Béjar
, La Fuente de San Esteban, Ciudad Rodrigo, Vitigudino y Tamames. Las cuatro primeras tienen en común que han sido declaradas por el Ministerio de Agricultura, Pesca y Alimentación de «especial riesgo de 
tuberculosis bovina
», mientras que la última es de «riesgo moderado».",lagacetadesalamanca.es,99436.0,news,ES,es,"La Gaceta de Salamanca,Susana Magdaleno",https://s2.ppllstatics.com/lagacetadesalamanca/www/multimedia/2023/06/27/jabali-cruzando-carretera-crias-kBAG--1920x1080@Gaceta%20Salamanca.jpg,False,La Gaceta de Salamanca,30.360273,f1ce4632cad551fefe0de7e509a542c2
Sintonía de PP y PSOE en las Cortes por la tuberculosis frente a Vox,LNC,2023-06-27 20:23:54,timezone unknown,https://www.lanuevacronica.com/sintonia-entre-pp-y-psoe-en-las-cortes-por-la-tuberculosis-bovina-frente-a-la-postura-de-vox,lanuevacronica.com,Los populares aseguran en el Pleno que,"Sintonía entre PP y PSOE en las Cortes por la tuberculosis bovina frente a la postura de Vox 
 El procurador popular Óscar Reguera acercó hoy posiciones sobre la 
tuberculosis bovina
 con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: 
'Con la sanidad animal no se juega a la política'
, dijo el procurador del PP, veterinario de profesión.
En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad 'de la mano de la ciencia y la ley', ya que aseguró que 
los dirigentes de Vox son 'peligrosos' 
con las 'interpretaciones' de los reglamentos europeos.",lanuevacronica.com,154626.0,news,ES,es,LNC,http://www.lanuevacronica.com/imagenes/articulos/_08max202305608992-1.jpg,False,@LNCleon,29.78379,df9302c85c59fac500289cd24f566fc2
#37 Amnistía Internacional exige que no se recorten los derechos de las personas Lgtbi tras el 23-J,,2023-06-26 13:25:13,full,https://www.meneame.net/story/amnistia-internacional-exige-no-recorten-derechos-personas-lgtbi/c037#c-37,meneame.net,"Por ello, exigió a los partidos que concurrirán al 23-J que 'se comprometan sin ambigüedades a consolidar' durante la próxima...","#35
 pero qué tiene que ver la normativa con tuberculosis bovina con recortar derechos a personas LGTBI
» autor: 
BlUeSoNja",meneame.net,9033.0,news,ES,es,,https://cdn.mnmstatic.net/cache/21/35/media_thumb-link-2176366.jpeg?1417881055,False,,28.864138,9e1053a5b2fd5667047943a9963c6481
PP y PSOE marcan distancias con Vox sobre la tuberculosis,El Día De Valladolid,2023-06-27 19:00:00,timezone unknown,https://www.eldiadevalladolid.com/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,eldiadevalladolid.com,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",eldiadevalladolid.com,187124.0,news,ES,es,"El Día De Valladolid,SPC",https://www.eldiadevalladolid.com/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@DiadeValladolid,28.024248,c52e03820371d32d59d102df3cbd3561
PP y PSOE marcan distancias con Vox sobre la tuberculosis,Diario De Burgos,2023-06-27 20:45:00,timezone unknown,https://www.diariodeburgos.es/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,diariodeburgos.es,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",diariodeburgos.es,76913.0,news,ES,es,"Diario De Burgos,SPC",https://www.diariodeburgos.es/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@diariodeburgos,27.993612,4d463985b09265ada1341af9e3952845
Asturias redujo la tasa de tuberculosis bovina y amplía los controles a la fauna silvestre,La Voz,2023-06-28 07:03:00,full,https://www.lavozdeasturias.es/noticia/asturias/2023/06/28/asturias-redujo-tasa-tuberculosis-bovina-amplia-controles-fauna-silvestre/00031687935327541878792.htm,lavozdeasturias.es,Las campañas de saneamiento ganadero logran también que la comunidad sea zona oficialmente indemne de diversas enfermedades contagiosas,"Vacas en Asturias, en una imagen de archivo 
j.l.cereijido | EFE
 
 
28 jun 2023
 . Actualizado a las 09:03 h.
 
El Gobierno de 
Asturias
 actuó en la pasada campaña de saneamiento ganadero sobre 14.042 explotaciones -13.653 de bovino, 166 de ovino-caprino y 223 de porcino- y en el caso de la 
tuberculosis
 bovina siguió reduciendo reduciendo la prevalencia de esta enfermedad por rebaño.
 
De esta forma, en 2022 se situó en el 0,06%, mientras en España la media se sigue manteniendo en el 0,8%, y la campaña incluyó además, como complemento al saneamiento de animales domésticos, controles de tuberculosos a fauna silvestre en el marco de un programa pionero para mitigar el posible impacto negativo sobre la sanidad animal y la ganadería.",lavozdeasturias.es,54075.0,news,ES,es,"La Voz,N.D.",https://www.lavozdeasturias.es/default/2022/11/29/00121669711083338985167/Foto/efe_20221128_175606853.jpg,False,lavozdeasturias,27.816639,221b08c69ec93babf9a9e7697e5d4329
PP y PSOE marcan distancias con Vox sobre la tuberculosis,Diario Palentino,2023-06-27 16:19:55,full,https://www.diariopalentino.es/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,diariopalentino.es,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",diariopalentino.es,216938.0,news,ES,es,"Diario Palentino,SPC",https://www.diariopalentino.es/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@diariopalentino,27.776993,caa30c89bd5096e4a2b8676d1fb88b98
PP y PSOE marcan distancias con Vox sobre la tuberculosis,Diario De Ávila,2023-06-27 16:19:55,full,https://www.diariodeavila.es/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,diariodeavila.es,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",diariodeavila.es,231034.0,news,ES,es,"Diario De Ávila,SPC",https://www.diariodeavila.es/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@diario_de_avila,27.751242,af30f630476bf7f4b1d09ecf5bf62297
PP y PSOE marcan distancias con Vox sobre la tuberculosis,El Día De Segovia,2023-06-27 16:19:55,full,https://www.eldiasegovia.es/noticia/zecd511e2-d358-d406-75b668c787471314/202306/pp-y-psoe-marcan-distancias-con-vox-sobre-la-tuberculosis,eldiasegovia.es,"Los socialistas presentan una moción con 19 puntos y abren la puerta a revisar la política de control de la enfermedad ""de la mano de la ciencia y la ley""","El 'popular' Óscar Reguera acercó hoy posiciones sobre la tuberculosis bovina con el socialista Juan Luis Cepa que planteó una moción con 19 puntos, que se votará en la segunda sesión del pleno de mañana de forma conjunta y sin aceptarse enmiendas, y marcó distancias con Vox: ""Con la sanidad animal no se juega a la política"", dijo el procurador del PP, veterinario de profesión.

En el pleno de las Cortes, el proponente socialista defendió la iniciativa y tendió la mano para hablar de esta enfermedad ""de la mano de la ciencia y la ley"", ya que aseguró que los dirigentes de Vox son ""peligrosos"" con las ""interpretaciones"" de los reglamentos europeos.",eldiasegovia.es,911961.0,news,ES,es,"El Día De Segovia,SPC",https://www.eldiasegovia.es/media/IMG/2023/ECD5CCEE-BED8-8B32-860684E8D63F22C6.JPG,False,@ElDiaSegovia,27.629211,2a1a0e59df9c3cf861244f4bdaef9ec9
Las 144 localidades salmantinas afectadas por la emergencia cinegética,Susana Magdaleno,2023-06-27 10:06:35,full,https://www.lagacetadesalamanca.es/campo/144-localidades-salmantinas-afectadas-emergencia-cinegetica-20230627120635-nt.html,lagacetadesalamanca.es,La Junta de Castilla y León ultima la orden para declarar la situación de emergencia | El titular de gestión del coto deberá garantizar que cumple con el cupo asignado.,"Martes, 27 de junio 2023, 12:06


| Actualizado 12:12h.







 


 
 










La Junta de Castilla y León prepara los últimos cambios en la redacción de la orden que declara 
la emergencia cinegética
 por riesgo de tuberculosis bovina en 144 localidades de , dentro de un plan que afectará a un total de 253 municipios en toda la Comunidad.










 






 
















 
Con la emergencia cinegética ahora la Junta de Castilla y León incidirá en que el titular de gestión de los cotos -que suelen ser administraciones, asociaciones de cazadores o particulares- cumpla los cupos pero en esta ocasión la preocupación está en que no se cace menos que lo asignado.",lagacetadesalamanca.es,99436.0,news,ES,es,"La Gaceta de Salamanca,Susana Magdaleno",https://s3.ppllstatics.com/lagacetadesalamanca/www/multimedia/2023/06/27/jabal-salamanca-U32651873084rMC-1920x1080@Gaceta%20Salamanca.jpg,False,La Gaceta de Salamanca,26.954868,c73c4348c723cad3c21757eda0c41785
Luz verde de las Cortes al convenio de asistencia sanitaria entre Castilla y León y Madrid,Laura Paramio,2023-06-28 12:04:00,full,https://www.larazon.es/castilla-y-leon/luz-verde-cortes-convenio-asistencia-sanitaria-castilla-leon-madrid_20230628649c21b09d4a8300016e90ec.html,larazon.es,Además se agilizará el reconocimiento de la condición de familia numerosa en la Comunidad,"El pleno de las Cortes ratificó por unanimidad el convenio entre las comunidades de y de Madrid para l
a asistencia sanitaria de los municipios limítrofes de las provincias de Ávila y Segovia
 en hospitales madrileños y de población flotante de esa comunidad en la atención primaria de Sacyl. El convenio en materia sanitaria, que emana del Protocolo General de Colaboración entre la Comunidad de Madrid y la Junta de en materia de políticas públicas suscrito el pasado 22 de noviembre de 2022, fue detallado por el consejero de Sanidad, Alejandro Vázquez, ante el hemiciclo.",larazon.es,6253.0,news,ES,es,Laura Paramio,"https://fotografias.larazon.es/clipping/cmsimages01/2023/06/28/DC479762-1363-44FF-8C03-DF3DE5E4D4BD/procuradores-nueva-sesion-pleno-cortes_69.jpg?crop=6000,3375,x0,y257&width=1280&height=720&optimize=low&format=jpg",False,larazon_es,26.836117,cf4a3cae186b65cd306dfc1f003b0efd
"La advertencia de Afra Blanco sobre Vox: ""No lo subestimemos, viene para abrir una sociedad del odio""",Lasexta Xplica,2023-07-02 08:01:59,full,https://www.lasexta.com/programas/sexta-noche/advertencia-afra-blanco-vox-subestimemos-viene-abrir-sociedad-odio_2023070264a12bab41ef3d0001c873e4.html,lasexta.com,"La sindicalista ha recordado algunas de las actuaciones que ha tenido Vox en este tiempo, como censurar una obra de Virginia Woolf en Valdemorillo, para indicar que es necesario ""no subestimar"" a este…","02 jul 2023 | 10:01 
Twitter
Facebook
Whatsapp
Telegram
Mail
Afra Blanco ha indicado que todas aquellas personas que no creen que Vox vaya a cumplir con su palabra, lo único que tienen que hacer es 
ver lo que ya está sucediendo
. ""En Castilla y León, concretamente en Salamanca, la tuberculosis bovina y cómo han hundido PP y Vox al sector ganadero allí"".
Además, ha indicado que cuando el partido liderado por Santiago Abascal llega a las instituciones, lo que vemos es que 
""se censura la cultura"",
 recordando lo sucedido con 
una obra de Virginia Woolf
 en Valdemorillo, Madrid.",lasexta.com,8838.0,news,ES,es,Lasexta Xplica,"https://fotografias.lasexta.com/clipping/cmsimages01/2023/07/02/84EF50F0-5809-4DE9-9BAF-66FE9313961C/xplica-afra-blanco-vox-viene-abrir-sociedad-odio_69.jpg?crop=1920,1080,x0,y0&width=1280&height=720&optimize=low&format=jpg",False,lasextatv,24.082115,df865c6330a0aa68f34185537f2fba1a
Badiola: «Guarden las mascarilla por si acaso vuelven; creo que no hay que decir por qué»,María Fernández,2023-06-26 12:02:32,full,https://www.leonoticias.com/leon/badiola-guarden-mascarilla-acaso-vuelven-creo-decir-20230626140232-nt.html,leonoticias.com,Respecto a las decisiones políticas sobre la tuberculosis bovina el veterinario considera que «no se puede exponer la salud de los ciudadanos».,"El experto en anatomía patológica veterinaria Juan José Badiola nombrado en la mañana de este lunes Doctor Honoris Causa de no ha querido dejar pasar la oportunidad de pronunciarse sobre dos de los temas más candentes en la actualidad sanitaria. Uno de ellos es el fin de las 
mascarillas
 en todos los espacios, incluidos centros de salud y farmacias y otro sobre la gestión de tuberculosis bovina por la Junta de Castilla y . 


Sobre el primero de los asuntos, Badiola dio una recomendación a los ciudadanos «no tiren las mascarillas, guardenlas por si acaso vuelven; creo que no hay que decir por qué».",leonoticias.com,61886.0,news,ES,es,"María Fernández,leonoticias.com",https://s3.ppllstatics.com/leonoticias/www/multimedia/2023/06/26/IMG_1248.jpg,False,leonoticias.com,23.726357,d26eccfe0765a1dbbc32a636bca51cb4
Calvo destaca la importancia de las campañas de saneamiento para la seguridad alimentaria,Europa Press,2023-06-27 17:58:16,full,https://www.europapress.es/asturias/asturias-rural-00671/noticia-calvo-destaca-importancia-campanas-saneamiento-seguridad-alimentaria-20230627195816.html,europapress.es,"El consejero de Medio Rural y Cohesión Territorial, Alejandro Calvo, ha destacado la importancia de las...","OVIEDO, 27 Jun. (EUROPA PRESS) -

El consejero de Medio Rural y Cohesión Territorial, Alejandro Calvo, ha destacado la importancia de las campañas de saneamiento en la mejora de la cabaña ganadera y la seguridad alimentaria.

Calvo ha hecho estas declaraciones en Madrid, durante la entrega de los II Premios Salud Animal de España, que concede Animal's Health y en los que el Principado ha sido galardonado en la categoría de Administración Pública.

""El Gobierno de Asturias ejecuta en el ámbito de la sanidad animal diversos programas de control para alcanzar el mayor grado de seguridad alimentaria, el preceptivo nivel sanitario de la cabaña ganadera y dar cumplimiento a la normativa vigente"", han recordado desde el Principado a través de nota de prensa.",europapress.es,3028.0,news,ES,es,Europa Press,https://s01.europapress.net/imagenes/estaticos/OpenGraph_EP_1024x512.jpg,False,@europapress,23.712923,266eef4e2465fc3977c756019015e181
"Morant advierte de las repercusiones del ""negacionismo"" en la ciencia que el PP muestra en el Mar Menor, Doñana o CyL",Europa Press,2023-06-29 13:55:57,full,https://www.cope.es/actualidad/sociedad/noticias/morant-advierte-las-repercusiones-del-negacionismo-ciencia-que-muestra-mar-menor-donana-cyl-20230629_2789519,cope.es,"La ministra de Ciencia, Diana Morant, ha denunciado las repercusiones del ""negacionismo"" científico que muestra el PP en el Mar Menor, en Doñana o en...","La ministra de Ciencia, Diana Morant, ha denunciado las repercusiones del ""negacionismo"" científico que muestra el PP en el Mar Menor, en Doñana o en Castilla y León.
 En una entrevista podcast publicada por El Español y recogida por Europa Press, Morant ha criticado que el presidente del PP en Murcia, López Miras ""niega la ciencia y no pone soluciones a los verdaderos problemas que están ahogando al Mar Menor y, en definitiva, convirtiéndolo en un ecosistema fallido"", lo cual, va ""en contra"" de la sociedad, el turismo y el medio ambiente.",cope.es,9831.0,news,ES,es,Europa Press,https://cope-cdnmed.agilecontent.com/img/brand/cope-redes-sociales.jpg,False,@cope,22.301725,32e9923b054d0946f2fc55eb9f3e2895
"La ministra de Ciencia acusa a López Miras de ""negacionista"" por la situación del Mar Menor",Europa Press,2023-06-29 15:15:58,full,https://www.laopiniondemurcia.es/comunidad/2023/06/29/ministra-ciencia-acusa-lopez-miras-89286930.html,laopiniondemurcia.es,"Diana Morant ha denunciado que también el presidente de la Junta de Andalucía, Juanma Moreno Bonilla, ha negado la ciencia al querer ""atropellar Doñana"", aunque destaca que el Gobierno ""ha puesto…","La ministra de Ciencia e Innovación, Diana Morant
, ha denunciado las repercusiones del ""negacionismo"" científico que muestra el PP en el Mar Menor, en Doñana o en Castilla y León.

 
 En una entrevista podcast publicada por El Español y recogida por Europa Press, Morant ha criticado que el presidente del PP en Murcia, López Miras ""niega la ciencia y no pone soluciones a los verdaderos problemas que están ahogando al Mar Menor y, en definitiva, 
convirtiéndolo en un ecosistema fallido
"", lo cual, va ""en contra"" de la sociedad, el turismo y el medio ambiente.",laopiniondemurcia.es,34826.0,news,ES,es,"Actualizado A Las,Alberto Sánchez,Europa Press,Marina Falcó,Sara Ledo",https://estaticos-cdn.prensaiberica.es/clip/50ae9d17-db4d-4821-92e5-a93050b3f77b_16-9-aspect-ratio_default_0.jpg,False,,22.06694,7b817cabf2f0ad1134d45ecf8dbb6b2c
